date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:51	227505/227505	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2010:14:22%20GMT	https://wowtheme7.com/tf/sasstech/index-2.html	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/index-2.html	(from )
10:56:52	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Aug%202025%2005:56:54%20GMT	https://wowtheme7.com/robots.txt		(from )
10:56:52	618/618	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Dec%202024%2001:41:04%20GMT	https://wowtheme7.com/tf/sasstech/assets/images/logo/favicon.png	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/images/logo/favicon.png	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:53	232760/232760	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Mar%202025%2006:34:04%20GMT	https://wowtheme7.com/tf/sasstech/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/css/bootstrap.min.css	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:53	28765/28765	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2005:58:20%20GMT	https://wowtheme7.com/tf/sasstech/assets/css/aos.css	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/css/aos.css	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:53	18472/18472	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Mar%202025%2006:34:04%20GMT	https://wowtheme7.com/tf/sasstech/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/css/swiper-bundle.min.css	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:53	9123/9123	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202025%2016:36:50%20GMT	https://wowtheme7.com/tf/sasstech/assets/css/magnific-popup.css	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/css/magnific-popup.css	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:53	3059/3059	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2005:48:54%20GMT	https://wowtheme7.com/tf/sasstech/assets/css/satoshi.css	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/css/satoshi.css	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:54	156835/156835	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Jul%202025%2008:14:26%20GMT	https://wowtheme7.com/tf/sasstech/assets/css/main.css	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/css/main.css	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:54	153705/153705	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2010:14:22%20GMT	https://wowtheme7.com/tf/sasstech/index.html	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/index.html	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:54	2675/2675	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Dec%202024%2004:32:56%20GMT	https://wowtheme7.com/tf/sasstech/assets/images/logo/logo.png	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/images/logo/logo.png	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:56	238854/238854	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Jul%202025%2010:32:12%20GMT	https://wowtheme7.com/tf/sasstech/assets/images/thumbs/home-img1.png	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/images/thumbs/home-img1.png	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:56	306953/306953	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Jul%202025%2010:32:16%20GMT	https://wowtheme7.com/tf/sasstech/assets/images/thumbs/home-img2.png	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/images/thumbs/home-img2.png	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:56	136787/136787	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2010:14:22%20GMT	https://wowtheme7.com/tf/sasstech/index-3.html	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/index-3.html	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:56	121960/121960	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2010:14:22%20GMT	https://wowtheme7.com/tf/sasstech/index-4.html	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/index-4.html	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:56	297892/297892	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Jul%202025%2010:32:18%20GMT	https://wowtheme7.com/tf/sasstech/assets/images/thumbs/home-img3.png	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/images/thumbs/home-img3.png	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:57	109984/109984	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2010:14:22%20GMT	https://wowtheme7.com/tf/sasstech/index-5.html	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/index-5.html	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:58	155935/155935	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2010:14:22%20GMT	https://wowtheme7.com/tf/sasstech/index-6.html	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/index-6.html	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:58	722361/722361	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Jul%202025%2010:32:18%20GMT	https://wowtheme7.com/tf/sasstech/assets/images/thumbs/home-img4.png	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/images/thumbs/home-img4.png	(from https://wowtheme7.com/tf/sasstech/index-2.html)
10:56:58	305301/305301	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Jul%202025%2010:32:22%20GMT	https://wowtheme7.com/tf/sasstech/assets/images/thumbs/home-img5.png	C:/My%20Web%20Sites/SassTech/wowtheme7.com/tf/sasstech/assets/images/thumbs/home-img5.png	(from https://wowtheme7.com/tf/sasstech/index-2.html)
